Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
   703;   10.00; 53.4890;  9.1390;18870101;19360331;Bremervörde (A)
   703;    6.00; 53.4810;  9.1445;19360401;19601130;Bremervörde (A)
   703;    9.00; 53.4843;  9.1750;19601201;19690930;Bremervörde (A)
   703;    6.00; 53.4916;  9.1370;19691001;19700930;Bremervörde (A)
   703;    3.00; 53.4818;  9.1567;19701001;19730930;Bremervörde (A)
   703;    5.00; 53.4824;  9.1336;19731001;19750131;Bremervörde (A)
   703;    5.00; 53.4813;  9.1489;19750201;19831101;Bremervörde (A)
   703;    5.00; 53.4779;  9.1553;19831102;19850605;Bremervörde (A)
