Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
   480;  280.00; 50.9100;  8.5300;18930101;19330630;Biedenkopf-Wallau
   480;  272.00; 50.9059;  8.5306;19330701;19470630;Biedenkopf-Wallau
   480;  270.00; 50.9100;  8.5300;19470701;19470820;Biedenkopf-Wallau
   480;  290.00; 50.9100;  8.5300;19470821;19480430;Biedenkopf-Wallau
   480;  275.00; 50.9075;  8.5347;19480501;19481130;Biedenkopf-Wallau
   480;  272.00; 50.9067;  8.5357;19481201;19491031;Biedenkopf-Wallau
   480;  273.00; 50.9130;  8.5249;19491101;19730831;Biedenkopf-Wallau
   480;  273.00; 50.9168;  8.5168;19730901;19740331;Biedenkopf-Wallau
   480;  349.00; 50.9201;  8.5273;19740401;19811006;Biedenkopf-Wallau
   480;  290.00; 50.9169;  8.5203;19811007;20061231;Biedenkopf-Wallau
   480;  349.00; 50.9198;  8.5268;20070501;20150930;Biedenkopf-Wallau
   480;  296.00; 50.9275;  8.4935;20151001;        ;Biedenkopf-Wallau
