Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
   848;   40.00; 52.6152; 10.0654;18870701;19391231;Celle (Stadt)
   848;   55.00; 52.6508; 10.1016;19400101;19491031;Celle (Stadt)
   848;   55.00; 52.6508; 10.1016;19491101;19540205;Celle (Stadt)
   848;   55.00; 52.6228; 10.0602;19540206;19541123;Celle (Stadt)
   848;   55.00; 52.6508; 10.1024;19541124;19670331;Celle (Stadt)
   848;   55.00; 52.6514; 10.1024;19670401;19790228;Celle (Stadt)
   848;   50.00; 52.6303; 10.0957;19790301;19840617;Celle (Stadt)
   848;   38.00; 52.6386; 10.0352;19840618;20080731;Celle (Stadt)
   848;   38.00; 52.6146; 10.0726;20080801;        ;Celle (Stadt)
