Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  2831;  391.00; 48.5340; 12.1291;19460901;19490331;Landshut
  2831;  391.00; 48.5340; 12.1291;19490401;19520131;Landshut
  2831;  391.00; 48.5340; 12.1291;19520201;19530430;Landshut
  2831;  391.00; 48.5346; 12.1379;19530501;19580930;Landshut
  2831;  391.00; 48.5346; 12.1379;19581001;19650131;Landshut
  2831;  391.00; 48.5346; 12.1379;19650201;19660930;Landshut
  2831;  391.00; 48.5346; 12.1379;19661001;19680930;Landshut
  2831;  393.00; 48.5357; 12.1132;19920901;20080331;Landshut
