Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  5344;   13.00; 53.7934;  7.8960;19410101;19490930;Wangerooge
  5344;   13.00; 53.7934;  7.8960;19491001;19581031;Wangerooge
  5344;    5.00; 53.7887;  7.8994;19581101;19690327;Wangerooge
  5344;    5.00; 53.7901;  7.8960;19690328;19710421;Wangerooge
  5344;    7.00; 53.7920;  7.8966;19710422;19840821;Wangerooge
  5344;    3.00; 53.7887;  7.8988;19840822;19911231;Wangerooge
  5344;    3.00; 53.7870;  7.9066;19920101;20061231;Wangerooge
  5344;    4.00; 53.7852;  7.8533;20161014;        ;Wangerooge
