Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  3867;    2.00; 53.0746;  7.4095;18960101;19250131;Papenburg
  3867;    4.00; 53.0804;  7.4359;19250201;19450402;Papenburg
  3867;    4.00; 53.0804;  7.4359;19470701;19490930;Papenburg
  3867;    4.00; 53.0779;  7.3984;19491201;19520114;Papenburg
  3867;    2.00; 53.0746;  7.3867;19520115;19550331;Papenburg
  3867;    2.00; 53.0718;  7.3800;19550401;19590228;Papenburg
  3867;    4.00; 53.0816;  7.4231;19660723;19760614;Papenburg
  3867;    4.00; 53.0746;  7.4381;19760615;19790930;Papenburg
  3867;    2.00; 53.0802;  7.3828;19791001;19811031;Papenburg
  3867;    1.00; 53.0979;  7.3767;19811101;19971231;Papenburg
  3867;    7.00; 53.0979;  7.4848;19980101;20010131;Papenburg
  3867;    7.00; 53.0643;  7.4814;20010201;20070724;Papenburg
  3867;    7.00; 53.0643;  7.4814;20070725;        ;Papenburg
