Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  3790;    3.00; 53.1463;  8.2022;19470904;19540531;Oldenburg (A)
  3790;    5.00; 53.1396;  8.2022;19540601;19571031;Oldenburg (A)
  3790;    5.00; 53.1463;  8.1983;19571101;19580131;Oldenburg (A)
  3790;   11.00; 53.1768;  8.1830;19580201;19580331;Oldenburg (A)
  3790;    5.00; 53.1485;  8.2052;19580401;19580615;Oldenburg (A)
  3790;    7.00; 53.1271;  8.2144;19580616;19691120;Oldenburg (A)
  3790;    5.00; 53.1266;  8.2110;19691121;19790912;Oldenburg (A)
  3790;    5.00; 53.1018;  8.2516;19790913;19890930;Oldenburg (A)
